name,win_rate
"Aatrox",48.78
"Ahri",51.25
"Akali",49.68
"Akshan",50.38
"Alistar",48.93
"Ambessa",49.61
"Amumu",51.65
"Anivia",49.97
"Annie",50.38
"Aphelios",49.08
"Ashe",50.69
"Aurelion Sol",49.8
"Aurora",49.39
"Azir",44.9
"Bard",50.98
"Bel'Veth",50.31
"Blitzcrank",49.2
"Brand",51.3
"Braum",50.37
"Briar",52.4
"Caitlyn",48.87
"Camille",49.12
"Cassiopeia",50.78
"Cho'Gath",49.95
"Corki",48.37
"Darius",49.68
"Diana",51.5
"Dr. Mundo",51.43
"Draven",48.69
"Ekko",49.9
"Elise",50.63
"Evelynn",50.1
"Ezreal",48.27
"Fiddlesticks",51.88
"Fiora",50.61
"Fizz",50.57
"Galio",49.56
"Gangplank",48.89
"Garen",51.07
"Gnar",50.08
"Gragas",48.81
"Graves",50.12
"Gwen",49.45
"Hecarim",48.88
"Heimerdinger",51.37
"Hwei",50
"Illaoi",51.17
"Irelia",49.68
"Ivern",51.36
"Janna",52.07
"Jarvan IV",51.04
"Jax",49.89
"Jayce",48.77
"Jhin",50.31
"Jinx",50.72
"K'Sante",46.16
"Kai'Sa",49.33
"Kalista",46.32
"Karma",50.79
"Karthus",48.22
"Kassadin",50.7
"Katarina",50.11
"Kayle",52
"Kayn",50.29
"Kennen",50.88
"Kha'Zix",50.75
"Kindred",49.97
"Kled",51.25
"Kog'Maw",52.23
"LeBlanc",49.38
"Lee Sin",49.16
"Leona",51.27
"Lillia",50.63
"Lissandra",51.06
"Lucian",48.71
"Lulu",50.25
"Lux",49.4
"Malphite",52.01
"Malzahar",51.38
"Maokai",51.31
"Master Yi",50.75
"Mel",48.27
"Milio",52.7
"Miss Fortune",51.96
"Mordekaiser",50.72
"Morgana",50.5
"Naafiri",51.3
"Nami",52.28
"Nasus",51.39
"Nautilus",49.29
"Neeko",48.31
"Nidalee",47.93
"Nilah",52.33
"Nocturne",52.16
"Nunu & Willump",50.19
"Olaf",51.83
"Orianna",49.06
"Ornn",51.02
"Pantheon",47.88
"Poppy",51.81
"Pyke",48.9
"Qiyana",49.29
"Quinn",51.4
"Rakan",49.89
"Rammus",52.17
"Rek'Sai",51.44
"Rell",51.59
"Renata Glasc",49.83
"Renekton",49.57
"Rengar",46.88
"Riven",49.82
"Rumble",48.98
"Ryze",48.73
"Samira",50.66
"Sejuani",48.46
"Senna",51.27
"Seraphine",51.29
"Sett",51.3
"Shaco",49.91
"Shen",51.65
"Shyvana",50.28
"Singed",52.2
"Sion",50.47
"Sivir",50.93
"Skarner",44.31
"Smolder",51.1
"Sona",51.87
"Soraka",52.05
"Swain",50.81
"Sylas",49.33
"Syndra",50.52
"Tahm Kench",49.08
"Taliyah",48.27
"Talon",50.57
"Taric",52.12
"Teemo",51.34
"Thresh",50.11
"Tristana",50.79
"Trundle",49.17
"Tryndamere",47.92
"Twisted Fate",49.6
"Twitch",49.87
"Udyr",47.44
"Urgot",51.43
"Varus",47.26
"Vayne",50.02
"Veigar",51.38
"Vel'Koz",51.73
"Vex",51.13
"Vi",48.22
"Viego",49.32
"Viktor",49.74
"Vladimir",50
"Volibear",50.16
"Warwick",50.54
"Wukong",49.5
"Xayah",50.09
"Xerath",50.75
"Xin Zhao",51.42
"Yasuo",49.04
"Yone",47.73
"Yorick",50.11
"Yunara",47.99
"Yuumi",48.32
"Zaahen",49.18
"Zac",51.33
"Zed",48.93
"Zeri",49.86
"Ziggs",51.7
"Zilean",51.1
"Zoe",48.85
"Zyra",51.33
